title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"A Life in Color","Ramsey the Fourth","70ppxZHlN9AC2kEALCJGD6",0.523,0.516,7,-9.906,1,0.0464,0.355,0.00000614,0.339,0.761,165.866,202244,4
"The Kiss Of Venus (Dominic Fike)","Paul McCartney","28kOGtTZzbfQ8fMmTwjRFq",0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,143531,4
"Highdrive","Will Tulip","2UkF9fsPqXJNTbN1id5E0a",0.859,0.245,1,-12.84,0,0.0511,0.163,0.246,0.111,0.682,84,233586,4
"Meet Me At Our Spot","THE ANXIETY","07MDkzWARZaLEdKxo6yArG",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4
"No One Does It Like You","Feed Me Jack","56WQnWgzMWrOMiEspzTNHU",0.508,0.402,4,-14.209,1,0.103,0.335,0.000762,0.172,0.626,100.659,152500,4
"Baby Blue","Tigers in the Sky","7c1mJwugEp6fUU1GH4Vywi",0.415,0.427,4,-9.871,1,0.0362,0.981,0.00726,0.772,0.379,116.607,127501,4
"Goodmorning","Bleachers","1K13OsIMc0HLgEJHZoWH78",0.629,0.448,2,-9.534,1,0.102,0.579,0,0.131,0.515,79.993,193413,4
"Ruby Fields","Sarah and the Sundays","1gztFMEaH1IZmoPnlcuq8o",0.542,0.505,1,-6.972,0,0.0268,0.474,0.0000469,0.215,0.332,144.876,187345,4
"A World So Full of Love","Shakey Graves","77OBKDqQD0tvocHP5AXDDV",0.744,0.391,0,-8.374,1,0.0266,0.769,0.000762,0.109,0.533,104.874,171958,4
"Was It Something I Said (feat. Cavetown)","MyKey","4pCKJ8NFjBHSk1wGn13cab",0.581,0.725,6,-5.555,1,0.0301,0.491,0.000753,0.136,0.8,106.996,231261,4
"Space Cadet","The Technicolors","6DwRQI2K03MTNULcasnhUh",0.571,0.655,11,-7.576,1,0.0307,0.127,0.0000142,0.165,0.633,85.986,288836,4
"Oh oh chéri","Françoise Hardy","0SDEi2w2vSb1pTtkgoApk2",0.794,0.41,1,-10.917,1,0.0395,0.692,0.0000267,0.0892,0.901,92.078,139533,4
"Was It Something I Said","MyKey","65j65yDSE06CNKAPjsHoJt",0.587,0.724,6,-6.775,1,0.0321,0.618,0.000166,0.157,0.837,106.994,220588,4
"Oh Klahoma","Jack Stauber","6SZwj6cjc8JQbkrr8cbIUn",0.697,0.401,7,-10.216,1,0.0543,0.43,0.0109,0.316,0.478,108.996,185224,4
"Go Down on You","The Memories","4DkeNKHcmZo2Z0Eb1XcaNC",0.591,0.488,1,-9.229,1,0.11,0.937,0.786,0.11,0.697,136.516,60693,4
"First Aid","Gus Dapperton","3y2Dktpll4t3zPlgpCnUCy",0.623,0.48,10,-4.39,0,0.0269,0.0148,0.00141,0.086,0.355,140.015,268509,4
"Painkillers","Rainbow Kitten Surprise","6fc51JZVE0Yijdi6RuoLFv",0.754,0.405,7,-11.547,1,0.0378,0.466,0.00179,0.1,0.0843,114.938,213973,4
"Color Scheme","The Jephries","6bhgbzl57q2ZkZIgWLioSN",0.516,0.522,9,-12.404,1,0.0378,0.0707,0.000157,0.107,0.296,146.945,295546,4
"Amoeba","Clairo","0HAqq2GcQKyi3s87GuN7jU",0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,228922,4
"Joyride","Adam Melchor","0VcVy0kpfwyd5rMS5URyVD",0.52,0.505,9,-7.197,1,0.0276,0.201,0.00000108,0.144,0.441,131.909,212945,4
"New Slang (When You Notice The Stripes)","The Shins","3AxZ713oKWbwS2FHs66tuq",0.614,0.388,11,-12.069,1,0.0393,0.712,0.000145,0.0879,0.584,130.367,229907,4
"Plant-Sitting This Weekend","Grey Dugan","4nuCezx8hcsO5dXrz79rMy",0.622,0.537,5,-9.81,0,0.0321,0.334,0,0.0973,0.394,91.149,202000,4
